age,Medu,Fedu,traveltime,studytime,famrel,freetime,goout,Dalc,Walc,health,sex_M,address_U,famsize_LE3,Pstatus_T,nursery,plans_universitypast_failures
16,4,4,1,2,5,4,4.0,1.0,2.0,5,1,1,0,1,1,10
17,4,4,1,1,5,3,4.0,1.0,2.0,5,0,1,0,1,1,10
16,1,1,2,1,4,5,5.0,2.0,4.0,5,1,0,1,1,1,10
18,1,2,2,1,3,4,4.0,2.0,4.0,4,1,1,0,1,0,-10
17,2,1,2,2,4,2,5.0,1.0,2.0,5,0,0,0,1,1,10
17,2,4,1,2,4,3,2.0,1.0,1.0,5,0,1,1,1,1,10
15,1,1,3,2,4,2,1.0,1.0,2.0,2,0,0,0,1,1,10
15,3,3,1,4,4,3,3.0,1.0,1.0,4,0,1,0,0,1,10
19,1,1,3,1,4,4,4.0,3.0,3.0,5,1,0,0,1,1,11
17,1,1,1,3,4,3,2.0,1.0,2.0,4,0,1,1,1,1,10
16,3,3,1,2,4,3,3.0,2.0,4.0,5,0,1,0,1,1,10
15,2,2,3,1,4,3,3.0,1.0,2.0,4,1,1,0,1,1,10
17,4,4,1,2,2,3,4.0,1.0,1.0,1,0,1,1,1,1,10
16,3,3,2,1,4,3,2.0,1.0,1.0,5,0,1,0,0,0,10
17,3,3,1,1,4,3,5.0,3.0,5.0,5,1,1,0,1,0,10
19,4,3,1,2,4,3,1.0,1.0,1.0,1,1,1,1,0,1,10
16,1,0,2,2,4,3,2.0,1.0,1.0,3,1,1,0,1,1,10
18,2,4,1,2,2,3,2.0,1.0,3.0,1,0,1,0,0,1,11
16,2,1,1,2,5,3,3.0,1.0,1.0,1,0,1,0,1,1,10
18,2,2,2,3,4,2,1.0,1.0,1.0,4,0,0,0,1,1,10
16,4,4,1,2,4,5,2.0,1.0,2.0,3,0,1,1,1,1,10
19,3,3,1,4,4,3,3.0,1.0,2.0,3,0,1,0,1,1,10
18,1,2,2,1,4,1,4.0,5.0,5.0,1,1,1,1,1,0,10
19,1,1,3,3,1,5,5.0,4.0,3.0,5,0,1,0,1,1,-10
18,3,4,2,2,4,2,5.0,3.0,4.0,1,1,0,1,0,1,10
16,4,4,1,2,5,3,2.0,1.0,3.0,2,1,0,1,0,1,10
18,4,4,1,2,3,2,4.0,1.0,4.0,2,1,1,0,1,0,10
17,3,2,1,1,5,5,5.0,2.0,4.0,5,1,1,0,1,1,13
15,3,1,2,4,4,4,2.0,2.0,3.0,3,0,0,1,1,0,10
19,2,3,1,1,4,4,4.0,1.0,1.0,2,0,1,0,1,1,-11
1987,3,2,1,1,5,3,4.0,2.0,2.0,5,1,0,0,1,0,10
17,1,1,2,1,4,5,5.0,1.0,3.0,2,1,0,0,1,0,10
15,2,2,3,4,5,4,5.0,2.0,3.0,5,1,1,1,0,1,10
18,2,1,4,2,4,3,2.0,4.0,5.0,3,1,1,1,1,1,10
18,1,1,2,3,5,3,2.0,1.0,,4,0,1,1,1,1,10
16,2,2,2,4,5,3,5.0,1.0,1.0,5,0,0,0,1,0,10
18,4,3,1,3,4,3,4.0,1.0,1.0,5,0,1,0,1,1,10
18,2,1,1,2,4,3,4.0,1.0,3.0,5,0,1,1,0,0,10
17,3,2,1,2,5,4,2.0,1.0,1.0,3,0,1,0,1,1,10
15,4,3,2,4,2,2,2.0,1.0,1.0,3,1,1,0,1,1,10
17,2,2,2,2,4,3,5.0,1.0,2.0,4,0,0,0,1,1,10
16,4,3,1,2,3,4,3.0,2.0,3.0,3,1,1,0,1,1,10
19,3,3,1,2,4,3,5.0,3.0,3.0,5,0,1,0,1,1,10
16,1,2,2,1,5,4,5.0,1.0,4.0,2,0,0,1,1,1,10
16,0,2,2,1,3,2,3.0,1.0,2.0,2,0,0,0,1,1,10
16,3,2,1,1,5,4,3.0,1.0,1.0,5,1,1,0,1,0,10
15,3,3,2,1,4,1,3.0,1.0,1.0,4,0,0,0,1,0,10
15,3,4,1,1,3,4,3.0,1.0,2.0,4,1,1,0,1,1,10
15,2,2,1,4,5,1,2.0,1.0,1.0,3,0,1,0,1,1,10
15,2,1,3,3,5,2,2.0,1.0,1.0,4,0,1,0,1,1,10
17,1,1,1,2,4,3,3.0,1.0,2.0,4,1,1,0,1,0,10
18,4,3,1,2,3,1,,1.0,3.0,2,0,1,0,1,1,10
16,1,1,1,1,3,4,4.0,3.0,3.0,1,0,1,1,1,1,10
16,1,2,1,3,1,3,2.0,1.0,2.0,4,0,1,0,1,1,11
16,2,2,1,2,5,1,5.0,1.0,1.0,4,0,1,0,1,0,10
16,4,2,2,2,5,3,3.0,1.0,1.0,1,0,1,0,1,1,10
18,4,4,1,2,2,4,4.0,1.0,1.0,4,0,1,0,1,1,11
16,1,1,4,3,4,4,3.0,1.0,1.0,5,0,0,0,1,1,10
17,2,2,1,1,4,5,3.0,1.0,1.0,5,0,1,0,1,1,-10
17,1,1,3,1,5,2,1.0,1.0,2.0,1,0,0,0,1,1,11
17,1,3,2,1,5,1,2.0,3.0,3.0,5,1,0,1,1,1,10
18,1,1,2,1,4,4,3.0,3.0,4.0,4,1,0,0,1,1,-11
17,4,3,2,2,2,5,5.0,1.0,4.0,5,1,1,1,1,1,10
17,2,2,2,1,4,4,4.0,2.0,3.0,4,1,1,0,1,1,-10
17,2,1,2,2,5,3,3.0,1.0,2.0,2,0,0,1,0,1,10
18,4,3,2,1,3,2,4.0,1.0,4.0,1,0,1,1,1,1,10
16,4,3,1,3,5,3,5.0,1.0,1.0,3,0,1,0,1,1,10
16,3,3,2,2,4,4,5.0,1.0,1.0,4,0,1,1,1,1,10
19,3,2,1,1,4,5,4.0,1.0,1.0,4,1,1,0,1,1,-10
17,4,4,1,2,5,2,5.0,1.0,1.0,5,0,1,0,1,1,10
16,4,2,10,2,4,2,3.0,1.0,1.0,3,0,1,0,1,1,10
1988,4,4,2,2,4,3,5.0,1.0,2.0,1,0,1,0,1,0,10
17,2,3,1,2,5,3,3.0,1.0,3.0,3,1,1,1,1,0,10
18,2,2,1,3,4,3,3.0,,2.0,2,0,1,0,1,1,10
16,3,1,2,4,4,3,2.0,1.0,1.0,5,1,1,0,1,1,10
1989,4,4,1,1,4,2,1.0,1.0,1.0,4,0,1,0,1,1,10
16,1,1,1,4,2,2,1.0,1.0,1.0,5,0,1,0,1,1,10
18,4,4,2,3,4,2,2.0,2.0,2.0,5,1,1,1,1,1,10
17,3,3,1,1,4,4,3.0,,3.0,5,1,1,0,1,1,10
17,2,4,1,3,4,4,3.0,1.0,1.0,5,0,0,0,1,1,10
16,3,2,1,1,3,1,3.0,1.0,4.0,3,0,1,0,1,1,10
17,0,2,2,3,3,3,3.0,2.0,3.0,2,0,1,1,1,1,10
17,3,3,2,4,5,4,5.0,3.0,4.0,5,1,1,0,1,1,11
16,4,2,1,2,4,5,1.0,1.0,3.0,5,1,1,1,1,1,10
18,4,4,3,1,4,4,3.0,2.0,2.0,5,0,0,0,1,1,10
18,3,3,1,2,3,2,4.0,2.0,4.0,4,1,1,1,1,1,10
16,2,2,1,1,4,2,5.0,1.0,2.0,5,0,1,0,1,1,10
15,4,3,1,1,4,5,5.0,1.0,3.0,1,0,1,0,1,1,10
17,1,1,2,1,4,4,4.0,1.0,2.0,5,1,1,1,1,1,11
16,1,2,2,2,4,3,3.0,1.0,,5,1,0,0,1,1,10
16,4,3,1,2,1,3,2.0,1.0,1.0,1,0,1,0,1,1,10
17,3,2,1,2,4,3,2.0,2.0,3.0,2,0,1,0,1,1,10
15,4,2,1,3,5,3,3.0,1.0,3.0,1,0,1,0,1,1,10
18,4,4,1,1,1,4,2.0,2.0,2.0,1,1,1,1,1,1,10
16,4,4,1,2,4,4,5.0,5.0,5.0,5,1,1,0,1,1,10
18,2,2,1,2,2,3,3.0,1.0,2.0,4,0,0,1,1,1,11
17,4,4,1,1,5,2,3.0,1.0,2.0,5,1,1,0,1,1,10
15,2,1,1,2,5,4,2.0,1.0,1.0,5,1,0,0,1,1,10
17,2,2,1,2,4,4,2.0,5.0,5.0,4,1,1,1,1,0,10
18,2,2,2,2,4,3,5.0,1.0,1.0,1,0,1,0,1,0,10
15,3,2,2,2,4,3,5.0,1.0,1.0,2,0,1,0,1,1,10
15,4,3,1,2,4,3,2.0,1.0,1.0,1,0,1,0,0,1,10
18,3,2,2,1,2,5,5.0,5.0,5.0,5,1,0,0,1,0,10
17,2,2,1,2,4,2,2.0,1.0,1.0,3,0,1,0,1,1,10
16,2,1,1,1,4,4,4.0,3.0,5.0,5,1,1,1,1,1,11
18,1,1,3,2,3,4,4.0,2.0,2.0,5,0,1,0,1,1,12
16,2,1,1,2,4,2,3.0,1.0,2.0,5,1,1,1,1,1,10
18,2,2,1,1,4,3,5.0,2.0,4.0,5,0,1,0,1,1,10
18,4,4,2,3,5,4,4.0,1.0,1.0,1,0,0,1,1,1,10
16,3,2,1,2,1,2,2.0,1.0,2.0,1,0,1,0,1,1,10
19,1,1,2,2,4,3,3.0,1.0,1.0,3,0,0,0,1,1,11
16,4,4,1,3,5,4,5.0,1.0,1.0,4,0,1,1,1,1,10
20,1,0,2,1,5,3,1.0,1.0,1.0,5,0,1,0,1,1,11
17,1,1,2,3,4,3,3.0,1.0,1.0,1,1,0,0,1,0,10
18,1,1,4,3,4,3,2.0,1.0,2.0,4,0,0,0,1,1,10
15,3,3,1,1,5,3,4.0,4.0,4.0,1,0,1,1,0,1,10
16,2,1,2,1,2,4,3.0,2.0,3.0,4,1,1,1,1,1,10
18,2,2,2,2,4,1,4.0,1.0,3.0,4,0,1,1,0,1,10
16,3,4,3,2,4,2,1.0,1.0,1.0,2,0,0,1,1,0,10
15,4,4,1,1,5,4,2.0,1.0,1.0,5,1,1,0,1,1,10
18,1,2,2,2,4,1,1.0,1.0,1.0,4,0,1,0,1,1,-10
18,1,3,1,1,4,3,3.0,2.0,3.0,3,1,1,1,1,1,-10
17,4,3,1,2,3,2,3.0,1.0,2.0,3,0,1,1,1,1,10
19,2,1,1,1,5,3,4.0,1.0,4.0,4,1,1,0,1,1,10
18,3,2,1,3,4,3,4.0,1.0,2.0,2,0,1,0,1,1,10
15,4,4,1,2,5,4,2.0,3.0,4.0,5,1,1,0,1,0,10
15,4,3,1,2,4,4,1.0,1.0,1.0,1,1,1,0,1,1,10
15,4,4,1,1,5,4,3.0,2.0,4.0,5,1,1,1,1,0,10
17,3,4,3,2,5,4,5.0,2.0,4.0,5,1,0,0,1,1,10
16,1,1,4,2,5,1,3.0,1.0,1.0,3,0,0,0,1,1,10
17,3,3,1,3,3,2,3.0,1.0,1.0,4,0,1,0,1,0,10
16,4,4,1,2,4,4,2.0,1.0,1.0,3,0,1,0,1,1,10
16,2,2,1,1,1,2,2.0,1.0,3.0,5,0,1,0,1,0,10
16,4,4,2,1,5,1,3.0,1.0,2.0,5,0,1,1,1,1,10
15,4,2,1,4,3,3,3.0,1.0,1.0,3,1,1,0,1,1,10
18,2,1,2,3,4,4,4.0,1.0,1.0,3,0,1,0,1,0,10
17,4,4,2,1,4,2,4.0,2.0,3.0,2,0,1,0,1,1,11
19,1,1,2,1,5,5,5.0,2.0,3.0,2,0,1,0,1,1,-11
19,4,4,1,1,3,2,5.0,4.0,4.0,5,0,1,0,1,1,11
17,2,2,1,2,5,4,5.0,1.0,2.0,5,0,1,0,1,0,10
15,4,4,1,2,3,2,2.0,1.0,1.0,5,1,1,0,1,1,10
18,4,4,1,1,5,4,5.0,1.0,,5,1,1,1,1,1,10
15,4,4,4,4,1,3,5.0,3.0,5.0,1,1,0,0,1,1,10
17,1,1,2,1,3,5,5.0,2.0,2.0,4,0,0,0,1,1,-10
18,2,2,2,2,3,3,3.0,5.0,5.0,4,1,1,0,1,1,13
16,1,1,2,2,3,4,3.0,1.0,1.0,1,0,0,0,1,1,13
17,3,2,2,1,4,5,2.0,1.0,1.0,2,1,1,0,1,0,-13
17,1,1,1,3,4,3,3.0,1.0,1.0,3,0,1,1,1,1,10
18,1,1,2,2,2,3,5.0,1.0,4.0,3,0,1,1,1,1,10
18,4,2,1,2,4,2,2.0,1.0,1.0,3,0,1,1,1,1,10
16,4,4,1,3,5,3,2.0,1.0,1.0,5,0,1,0,1,0,10
16,4,4,1,1,3,4,4.0,1.0,4.0,5,1,1,0,1,1,10
15,1,1,2,1,4,4,3.0,1.0,2.0,2,0,0,1,1,1,11
16,2,2,4,3,5,1,3.0,2.0,2.0,3,1,1,1,1,1,10
17,1,1,1,2,4,3,2.0,1.0,1.0,4,0,1,0,1,0,10
18,2,3,1,3,4,3,3.0,1.0,2.0,3,0,1,0,1,1,10
17,2,2,1,1,3,1,2.0,1.0,1.0,1,0,1,1,0,0,-11
17,1,1,1,2,4,5,5.0,1.0,2.0,3,0,1,0,0,1,10
17,2,4,1,2,5,4,2.0,2.0,3.0,5,0,1,0,1,1,10
17,3,3,1,2,4,3,4.0,1.0,4.0,4,1,1,0,1,0,10
19,2,2,1,2,4,3,3.0,1.0,1.0,5,0,1,0,1,1,10
19,2,3,1,3,5,4,2.0,1.0,2.0,5,0,0,0,1,0,11
16,1,2,1,1,3,3,3.0,1.0,2.0,3,1,1,0,1,1,10
15,3,3,1,2,5,3,2.0,1.0,1.0,2,1,1,1,1,0,10
17,4,2,1,2,4,3,2.0,1.0,1.0,4,0,1,1,0,1,10
17,4,4,2,3,5,3,4.0,1.0,1.0,5,0,0,0,1,1,10
17,1,1,1,2,5,3,3.0,1.0,1.0,3,0,1,0,1,0,10
16,0,2,1,1,4,3,2.0,2.0,4.0,5,1,1,0,1,0,10
19,2,1,2,1,4,4,3.0,1.0,3.0,5,1,1,0,1,0,-13
18,2,2,1,3,4,3,3.0,1.0,1.0,3,0,1,0,1,1,10
17,1,2,1,1,5,5,5.0,5.0,5.0,3,1,0,1,1,1,10
17,2,2,1,1,3,4,4.0,1.0,3.0,5,0,1,1,1,1,10
17,3,2,1,4,5,2,2.0,1.0,2.0,5,0,1,0,1,0,10
17,3,1,1,3,3,4,3.0,2.0,3.0,5,0,1,0,1,0,10
16,3,1,1,1,3,1,3.0,1.0,3.0,1,0,1,0,1,1,10
19,1,1,1,3,5,3,1.0,1.0,1.0,3,0,1,0,1,1,-11
16,2,2,3,2,5,3,4.0,1.0,1.0,2,0,0,0,1,1,10
17,4,4,2,3,4,3,3.0,1.0,2.0,4,0,1,0,1,0,10
17,2,2,1,2,3,3,1.0,1.0,2.0,4,0,1,0,0,1,10
17,4,2,1,4,4,2,3.0,1.0,1.0,4,0,1,1,1,1,10
17,2,1,3,2,2,1,1.0,1.0,1.0,3,0,0,0,1,1,10
16,4,4,1,1,5,3,4.0,1.0,2.0,1,0,1,0,1,0,10
18,4,4,2,2,4,3,4.0,1.0,1.0,3,0,1,0,0,1,10
15,4,4,1,2,4,4,4.0,1.0,1.0,3,0,1,0,1,0,10
17,2,2,3,3,4,2,3.0,1.0,1.0,1,0,1,0,1,1,10
16,1,1,2,1,4,3,2.0,1.0,4.0,5,0,1,0,1,1,10
17,4,3,1,2,5,2,3.0,1.0,1.0,2,1,1,0,1,1,10
17,2,3,2,1,5,5,5.0,1.0,3.0,3,0,0,0,1,1,10
15,4,2,1,1,3,5,2.0,1.0,1.0,3,1,1,1,1,1,10
16,3,1,1,2,3,3,3.0,2.0,3.0,2,0,1,1,1,1,10
19,1,1,1,2,4,4,3.0,3.0,4.0,4,1,1,0,1,1,-12
16,1,1,1,1,4,4,4.0,2.0,2.0,4,0,0,1,1,1,10
18,1,4,1,2,3,4,4.0,1.0,2.0,5,0,1,0,1,0,10
16,4,3,1,3,3,4,4.0,2.0,4.0,4,0,1,0,1,1,10
16,1,2,1,3,4,4,3.0,1.0,1.0,5,1,1,0,0,1,10
18,2,2,2,2,1,3,1.0,1.0,1.0,2,0,1,0,1,0,10
17,1,2,1,1,5,3,5.0,5.0,5.0,1,1,1,0,1,1,-11
18,3,2,1,3,4,3,3.0,5.0,1.0,5,0,1,0,0,0,10
16,4,4,1,2,2,4,4.0,2.0,3.0,4,0,0,0,1,1,10
15,4,2,2,1,5,5,5.0,3.0,4.0,5,1,1,1,0,1,10
18,2,1,1,2,5,2,4.0,1.0,2.0,4,1,1,0,1,1,10
18,3,3,1,2,5,3,4.0,1.0,1.0,4,0,1,0,1,1,10
17,2,1,1,2,4,2,3.0,2.0,2.0,2,0,1,1,1,1,10
15,4,4,1,2,3,3,3.0,1.0,2.0,2,0,1,0,1,1,10
17,4,2,1,3,4,3,4.0,1.0,3.0,5,0,0,0,1,1,10
15,2,3,1,2,4,4,4.0,1.0,1.0,1,1,0,0,1,1,10
17,4,1,1,1,3,2,2.0,1.0,1.0,5,0,1,0,1,1,10
15,4,3,2,2,5,4,3.0,1.0,2.0,3,1,1,0,1,1,10
18,1,1,1,2,4,3,2.0,1.0,1.0,5,0,0,0,1,1,11
16,4,3,1,1,3,1,3.0,1.0,3.0,5,1,1,1,1,1,10
17,4,4,2,2,4,1,4.0,1.0,1.0,1,0,1,0,0,1,10
16,2,3,1,2,2,3,1.0,1.0,1.0,3,0,1,0,1,1,10
15,4,2,1,3,3,2,2.0,1.0,1.0,5,0,1,0,1,1,10
18,2,1,1,2,5,4,5.0,1.0,3.0,5,0,1,0,1,1,-13
16,2,2,2,2,3,3,3.0,1.0,2.0,3,0,1,1,1,0,10
16,1,1,2,1,4,2,2.0,4.0,3.0,2,0,0,0,1,1,10
16,4,4,1,1,5,3,2.0,1.0,2.0,5,1,1,0,1,1,10
15,2,2,2,2,5,3,3.0,1.0,3.0,4,1,1,1,1,1,10
18,4,4,1,3,4,3,3.0,2.0,2.0,3,1,1,0,1,1,10
17,4,4,1,2,5,3,1.0,1.0,4.0,5,0,1,0,1,1,10
16,4,3,1,1,5,4,5.0,1.0,1.0,3,1,1,1,1,0,10
15,3,2,1,2,4,4,4.0,1.0,1.0,5,0,1,1,1,1,10
17,3,3,1,1,4,1,4.0,5.0,5.0,3,1,1,0,1,1,10
15,4,2,1,2,4,3,3.0,2.0,2.0,5,1,1,0,1,1,10
18,3,3,1,2,4,1,3.0,1.0,2.0,1,0,1,0,1,1,10
16,2,1,1,1,5,4,3.0,1.0,1.0,5,0,0,1,1,1,10
18,1,1,2,2,1,1,1.0,1.0,1.0,5,0,1,0,1,1,10
16,2,2,1,2,5,4,3.0,1.0,1.0,1,0,0,1,1,1,10
15,3,4,4,2,5,3,3.0,1.0,1.0,5,1,0,0,1,1,10
15,2,1,1,1,4,3,3.0,1.0,2.0,5,1,1,1,0,1,10
18,1,1,2,2,4,4,3.0,1.0,1.0,3,0,1,1,1,0,10
16,2,2,1,2,3,1,2.0,1.0,1.0,5,0,1,0,1,1,11
17,2,1,2,1,3,3,2.0,2.0,2.0,5,1,0,1,1,1,-11
16,1,2,1,2,4,4,3.0,1.0,1.0,1,0,1,1,1,1,10
18,4,4,2,2,4,3,4.0,,2.0,4,0,0,0,1,1,10
16,2,2,2,1,5,4,3.0,2.0,4.0,4,1,0,0,1,1,10
17,4,4,3,1,3,3,3.0,1.0,3.0,5,1,0,0,1,1,13
16,4,3,1,4,4,2,2.0,1.0,1.0,2,1,1,0,1,1,10
18,2,2,1,2,4,4,4.0,1.0,3.0,3,1,1,1,1,0,-10
16,4,1,1,1,4,1,2.0,2.0,1.0,2,1,0,1,1,1,10
15,2,1,1,2,4,4,2.0,3.0,3.0,2,0,1,0,1,0,10
16,3,3,3,1,3,3,4.0,3.0,5.0,3,1,0,1,1,1,10
17,4,3,1,2,3,4,5.0,2.0,4.0,1,0,1,0,1,1,10
16,4,4,2,3,5,3,5.0,1.0,4.0,5,0,1,0,1,1,10
18,3,1,1,2,4,3,4.0,1.0,1.0,1,0,1,1,1,1,10
19,1,1,1,1,1,4,4.0,1.0,1.0,5,0,1,1,0,1,-10
17,2,2,2,2,5,1,3.0,1.0,1.0,5,0,0,0,1,1,10
17,2,4,2,2,4,3,3.0,1.0,1.0,1,0,1,0,1,1,10
15,4,2,1,2,4,3,3.0,1.0,1.0,5,0,1,1,1,1,10
18,4,2,1,2,5,4,5.0,1.0,3.0,5,1,1,0,1,1,10
18,1,2,25,2,4,3,3.0,1.0,1.0,5,0,1,0,0,1,12
18,3,3,1,2,5,3,4.0,1.0,1.0,5,0,1,0,1,1,10
18,4,4,1,2,4,3,3.0,2.0,2.0,2,1,1,0,1,1,10
17,1,1,1,3,4,3,4.0,1.0,1.0,5,0,1,0,1,1,10
16,4,2,1,2,4,2,3.0,1.0,1.0,5,0,1,0,1,1,10
17,3,2,1,1,4,4,4.0,3.0,4.0,3,1,1,1,0,1,10
18,2,1,2,2,5,3,3.0,1.0,2.0,1,0,1,0,1,1,10
15,3,2,1,2,3,3,2.0,1.0,1.0,3,0,1,0,1,1,11
18,1,1,2,2,5,4,4.0,1.0,1.0,4,0,1,0,1,1,10
17,2,2,3,4,1,3,5.0,3.0,5.0,3,1,0,1,1,1,11
15,3,3,2,1,4,3,3.0,2.0,4.0,3,1,1,0,1,0,10
17,3,2,2,2,1,2,3.0,1.0,2.0,5,0,1,1,0,1,10
16,1,1,4,1,5,5,5.0,5.0,5.0,5,0,1,0,1,0,10
15,3,3,1,2,1,3,2.0,2.0,3.0,1,0,1,0,0,0,10
16,2,2,2,2,4,4,4.0,1.0,1.0,5,0,0,0,1,1,10
17,3,1,2,4,3,1,2.0,1.0,1.0,3,0,0,1,1,1,10
16,2,2,2,2,4,4,2.0,1.0,1.0,3,1,1,0,1,0,10
15,4,4,1,1,5,3,3.0,1.0,1.0,5,1,1,0,1,0,10
17,1,1,1,2,5,3,3.0,1.0,1.0,3,0,1,0,1,1,10
16,2,2,1,3,4,3,3.0,2.0,2.0,5,0,0,1,1,0,10
18,1,1,3,2,4,4,2.0,1.0,2.0,2,0,1,0,1,1,-11
18,2,1,1,2,4,2,5.0,1.0,2.0,1,0,1,0,1,1,10
18,2,2,2,3,5,3,3.0,1.0,3.0,4,0,0,0,1,1,10
15,4,3,1,3,5,4,3.0,1.0,1.0,4,1,1,1,1,1,10
18,1,1,2,1,3,3,2.0,1.0,2.0,3,1,1,1,1,0,10
18,2,1,1,1,3,2,5.0,2.0,5.0,5,1,1,0,1,0,-12
17,4,3,1,2,5,2,2.0,1.0,2.0,5,0,1,0,0,1,10
16,4,4,1,1,4,4,4.0,1.0,2.0,2,0,1,0,1,1,10
18,1,1,2,4,5,2,2.0,1.0,1.0,3,0,0,1,1,1,10
16,4,4,1,3,5,3,3.0,1.0,3.0,5,1,1,0,1,1,10
17,1,1,1,2,4,3,4.0,1.0,2.0,5,0,1,0,1,1,10
17,4,3,2,2,4,4,4.0,4.0,4.0,4,1,1,1,1,1,10
16,4,3,1,1,4,2,5.0,1.0,5.0,5,1,1,1,1,1,10
15,1,1,1,2,4,3,2.0,2.0,3.0,4,0,1,0,1,0,10
17,2,2,2,2,5,3,2.0,1.0,1.0,1,0,0,0,1,1,10
16,3,1,1,4,4,3,3.0,,2.0,5,0,1,0,1,1,10
17,2,2,2,1,5,5,5.0,3.0,5.0,5,1,0,0,1,1,-10
1988,2,2,2,1,5,5,5.0,1.0,1.0,3,0,0,0,1,1,-11
16,1,1,1,2,4,4,4.0,1.0,3.0,5,1,1,1,1,1,12
17,2,2,2,1,5,2,2.0,1.0,1.0,4,1,0,0,1,0,-10
18,2,1,2,2,4,3,1.0,1.0,1.0,5,0,1,0,1,1,10
17,1,1,2,1,4,4,5.0,1.0,2.0,5,0,0,0,1,0,10
18,3,4,1,2,4,3,3.0,1.0,3.0,5,1,1,1,1,1,10
16,1,1,2,2,3,4,2.0,1.0,1.0,5,1,1,1,1,1,10
18,3,2,1,3,5,4,3.0,2.0,3.0,1,0,1,0,1,1,10
18,1,1,2,3,4,5,5.0,1.0,2.0,2,0,1,0,1,1,10
18,4,3,1,2,4,3,2.0,1.0,1.0,3,1,1,0,1,0,10
16,2,2,1,2,3,3,4.0,1.0,1.0,4,0,1,0,0,1,10
20,1,1,2,3,3,2,2.0,1.0,3.0,3,0,0,0,1,1,10
16,4,4,2,3,4,2,2.0,1.0,1.0,4,0,0,0,1,1,10
17,1,1,3,1,4,2,3.0,3.0,4.0,4,1,0,0,1,0,-10
16,3,4,1,1,3,2,1.0,1.0,4.0,5,0,1,0,0,1,10
17,1,3,3,2,5,2,4.0,1.0,4.0,5,1,0,0,1,1,11
18,2,1,2,1,4,4,3.0,1.0,3.0,5,1,0,0,1,0,10
15,2,2,1,1,5,4,1.0,1.0,1.0,1,1,1,0,1,1,10
17,1,1,3,2,5,1,3.0,3.0,3.0,1,1,1,0,1,1,10
17,2,2,1,3,3,4,3.0,1.0,1.0,3,0,1,0,1,1,10
16,1,1,2,1,3,3,3.0,1.0,2.0,1,0,0,0,1,1,10
18,1,2,3,2,4,3,4.0,1.0,4.0,5,0,0,1,0,1,10
16,3,1,1,2,2,3,3.0,,2.0,4,0,1,0,0,1,10
17,4,4,1,2,4,4,4.0,1.0,3.0,5,1,1,1,1,1,10
18,3,1,1,2,5,3,3.0,1.0,1.0,4,0,0,0,1,1,10
17,1,0,2,2,4,4,5.0,1.0,1.0,4,0,1,0,0,1,10
18,2,2,1,2,5,5,4.0,3.0,5.0,2,1,1,0,1,1,-10
15,2,2,1,1,4,2,2.0,1.0,2.0,5,1,1,0,1,1,10
16,4,4,1,2,4,1,3.0,3.0,5.0,5,1,1,1,0,1,10
17,3,3,2,1,4,4,3.0,1.0,1.0,4,0,1,0,1,1,10
18,2,3,1,1,3,1,3.0,4.0,5.0,4,1,0,0,1,1,10
18,2,1,1,3,4,2,4.0,1.0,3.0,2,1,1,0,1,1,10
17,4,2,1,2,5,5,5.0,1.0,3.0,5,0,1,0,1,1,10
17,1,1,1,1,4,3,2.0,1.0,2.0,5,0,1,0,1,1,10
19,1,1,2,2,3,5,4.0,1.0,4.0,1,0,0,0,0,1,-13
