STG,SCG,STR,LPR,PEG,UNS
0.00,0.00,0.00,0.00,0.00,0
0.08,0.08,0.10,0.24,0.90,1
0.06,0.06,0.05,0.25,0.33,0
0.10,0.10,0.15,0.65,0.30,1
0.08,0.08,0.08,0.98,0.24,0
0.09,0.15,0.40,0.10,0.66,1
0.10,0.10,0.43,0.29,0.56,1
0.15,0.02,0.34,0.40,0.01,0
0.20,0.14,0.35,0.72,0.25,0
0.00,0.00,0.50,0.20,0.85,1
0.18,0.18,0.55,0.30,0.81,1
0.06,0.06,0.51,0.41,0.30,0
0.10,0.10,0.52,0.78,0.34,1
0.10,0.10,0.70,0.15,0.90,1
0.20,0.20,0.70,0.30,0.60,1
0.12,0.12,0.75,0.35,0.80,1
0.05,0.07,0.70,0.01,0.05,0
0.10,0.25,0.10,0.08,0.33,0
0.15,0.32,0.05,0.27,0.29,0
0.20,0.29,0.25,0.49,0.56,1
0.12,0.28,0.20,0.78,0.20,0
0.18,0.30,0.37,0.12,0.66,1
0.10,0.27,0.31,0.29,0.65,1
0.18,0.31,0.32,0.42,0.28,0
0.06,0.29,0.35,0.76,0.25,0
0.09,0.30,0.68,0.18,0.85,1
0.04,0.28,0.55,0.25,0.10,0
0.09,0.26,0.60,0.45,0.25,0
0.08,0.33,0.62,0.94,0.56,1
0.15,0.28,0.80,0.21,0.81,1
0.12,0.25,0.75,0.31,0.59,1
0.15,0.30,0.75,0.65,0.24,0
0.10,0.26,0.70,0.76,0.16,0
0.18,0.32,0.04,0.19,0.82,1
0.20,0.45,0.28,0.31,0.78,1
0.06,0.35,0.12,0.43,0.29,0
0.10,0.42,0.22,0.72,0.26,0
0.18,0.40,0.32,0.08,0.33,0
0.09,0.33,0.31,0.26,0.00,0
0.19,0.38,0.38,0.49,0.45,1
0.02,0.33,0.36,0.76,0.10,0
0.20,0.49,0.60,0.20,0.78,1
0.14,0.49,0.55,0.29,0.60,1
0.18,0.33,0.61,0.64,0.25,1
0.12,0.35,0.65,0.27,0.04,0
0.17,0.36,0.80,0.14,0.66,1
0.10,0.39,0.75,0.31,0.62,1
0.13,0.39,0.85,0.38,0.77,1
0.18,0.34,0.71,0.71,0.90,1
0.09,0.51,0.02,0.18,0.67,1
0.06,0.50,0.09,0.28,0.25,0
0.23,0.70,0.19,0.51,0.45,1
0.09,0.55,0.12,0.78,0.05,0
0.24,0.75,0.32,0.18,0.86,1
0.18,0.72,0.37,0.29,0.55,1
0.10,0.60,0.33,0.42,0.26,0
0.20,0.52,0.36,0.84,0.25,1
0.09,0.60,0.66,0.19,0.59,1
0.18,0.51,0.58,0.33,0.82,1
0.08,0.58,0.60,0.64,0.10,0
0.09,0.61,0.53,0.75,0.01,0
0.06,0.77,0.72,0.19,0.56,1
0.15,0.79,0.78,0.30,0.51,1
0.20,0.68,0.73,0.48,0.28,0
0.24,0.58,0.76,0.80,0.28,1
0.25,0.10,0.03,0.09,0.15,0
0.32,0.20,0.06,0.26,0.24,0
0.29,0.06,0.19,0.55,0.51,1
0.28,0.10,0.12,0.28,0.32,0
0.30,0.08,0.40,0.02,0.67,1
0.27,0.12,0.37,0.29,0.58,1
0.31,0.10,0.41,0.42,0.75,1
0.29,0.15,0.33,0.66,0.08,0
0.30,0.20,0.52,0.30,0.53,1
0.28,0.16,0.69,0.33,0.78,1
0.26,0.18,0.50,0.40,0.10,0
0.27,0.06,0.57,0.75,0.10,0
0.28,0.10,0.72,0.10,0.30,0
0.25,0.10,0.71,0.26,0.20,0
0.30,0.20,0.86,0.44,0.28,0
0.32,0.12,0.79,0.76,0.24,0
0.30,0.25,0.26,0.12,0.67,1
0.32,0.32,0.29,0.29,0.62,1
0.25,0.29,0.15,0.48,0.26,0
0.27,0.10,0.10,0.70,0.25,0
0.25,0.30,0.31,0.20,0.03,0
0.33,0.25,0.38,0.31,0.79,1
0.27,0.31,0.32,0.41,0.28,0
0.29,0.29,0.40,0.78,0.18,0
0.29,0.30,0.52,0.09,0.67,1
0.26,0.28,0.64,0.29,0.56,1
0.32,0.26,0.55,0.78,0.34,1
0.25,0.27,0.57,0.60,0.09,0
0.29,0.31,0.79,0.23,0.24,0
0.32,0.32,0.89,0.32,0.80,1
0.26,0.31,0.86,0.62,0.15,0
0.30,0.25,0.73,0.77,0.19,0
0.26,0.25,0.30,0.33,0.77,1
0.29,0.25,0.29,0.29,0.57,1
0.24,0.27,0.08,0.42,0.29,0
0.27,0.28,0.18,0.48,0.26,0
0.30,0.32,0.31,0.33,0.87,1
0.30,0.27,0.31,0.31,0.54,1
0.25,0.26,0.38,0.49,0.27,0
0.30,0.29,0.31,0.76,0.10,0
0.29,0.30,0.56,0.25,0.67,1
0.26,0.28,0.60,0.29,0.59,1
0.31,0.26,0.63,0.40,0.54,1
0.32,0.27,0.52,0.81,0.30,1
0.30,0.30,0.80,0.37,0.84,1
0.28,0.26,0.81,0.27,0.33,0
0.26,0.31,0.88,0.40,0.30,0
0.32,0.28,0.72,0.89,0.58,1
0.33,0.55,0.02,0.40,0.79,1
0.30,0.59,0.29,0.31,0.55,1
0.29,0.64,0.18,0.61,0.45,1
0.27,0.60,0.28,0.66,0.07,0
0.32,0.69,0.28,0.80,0.70,1
0.28,0.78,0.44,0.17,0.66,1
0.33,0.61,0.46,0.32,0.81,1
0.28,0.65,0.40,0.65,0.13,0
0.26,0.75,0.35,0.72,0.25,0
0.31,0.55,0.50,0.11,0.33,0
0.30,0.85,0.54,0.25,0.83,1
0.33,0.90,0.52,0.49,0.76,1
0.31,0.80,0.67,0.92,0.50,1
0.30,0.70,0.95,0.22,0.66,1
0.27,0.76,0.80,0.28,0.28,0
0.26,0.72,0.72,0.63,0.14,0
0.30,0.60,0.72,0.88,0.28,1
0.39,0.05,0.02,0.06,0.34,0
0.40,0.18,0.26,0.26,0.67,1
0.45,0.04,0.18,0.55,0.07,0
0.48,0.12,0.28,0.70,0.71,1
0.40,0.12,0.41,0.10,0.65,1
0.41,0.18,0.33,0.31,0.50,1
0.38,0.10,0.40,0.48,0.26,0
0.37,0.06,0.32,0.78,0.10,0
0.41,0.09,0.58,0.18,0.58,1
0.38,0.01,0.53,0.27,0.30,0
0.33,0.04,0.50,0.55,0.10,0
0.42,0.15,0.66,0.78,0.40,1
0.44,0.08,0.80,0.22,0.56,1
0.39,0.15,0.81,0.22,0.29,0
0.42,0.21,0.87,0.56,0.48,1
0.46,0.20,0.76,0.95,0.65,1
0.37,0.24,0.19,0.24,0.35,0
0.33,0.27,0.20,0.33,0.10,0
0.35,0.30,0.10,0.64,0.13,0
0.48,0.30,0.15,0.65,0.77,1
0.49,0.25,0.38,0.14,0.86,1
0.33,0.30,0.33,0.32,0.30,0
0.36,0.29,0.37,0.48,0.13,0
0.39,0.26,0.39,0.77,0.14,0
0.43,0.31,0.51,0.09,0.64,1
0.44,0.32,0.55,0.33,0.52,1
0.45,0.30,0.63,0.36,0.51,1
0.50,0.28,0.58,0.77,0.83,1
0.47,0.26,0.73,0.18,0.59,1
0.48,0.32,0.79,0.31,0.54,1
0.35,0.33,0.83,0.61,0.18,0
0.39,0.26,0.76,0.84,0.30,1
0.45,0.39,0.02,0.24,0.88,1
0.43,0.45,0.27,0.27,0.89,1
0.33,0.34,0.10,0.49,0.12,0
0.40,0.33,0.12,0.30,0.90,1
0.34,0.40,0.38,0.20,0.61,1
0.38,0.36,0.46,0.49,0.78,1
0.35,0.38,0.32,0.60,0.16,0
0.41,0.49,0.34,0.21,0.92,1
0.42,0.36,0.63,0.04,0.25,0
0.43,0.38,0.62,0.33,0.49,1
0.44,0.33,0.59,0.53,0.85,1
0.40,0.42,0.58,0.75,0.16,0
0.46,0.44,0.89,0.12,0.66,1
0.38,0.39,0.79,0.33,0.30,0
0.39,0.42,0.83,0.65,0.19,0
0.49,0.34,0.88,0.75,0.71,1
0.46,0.64,0.22,0.22,0.60,1
0.44,0.55,0.11,0.26,0.83,1
0.37,0.68,0.10,0.63,0.18,0
0.45,0.65,0.19,0.99,0.55,1
0.46,0.78,0.38,0.24,0.89,1
0.37,0.55,0.41,0.29,0.30,0
0.38,0.59,0.31,0.62,0.20,0
0.49,0.64,0.34,0.78,0.21,0
0.50,0.82,0.67,0.01,0.93,1
0.44,0.69,0.61,0.29,0.57,1
0.37,0.57,0.59,0.55,0.25,0
0.49,0.90,0.52,0.90,0.47,1
0.45,0.70,0.82,0.16,0.64,1
0.42,0.70,0.72,0.30,0.80,1
0.37,0.60,0.77,0.40,0.50,1
0.40,0.61,0.71,0.88,0.67,1
0.60,0.14,0.22,0.11,0.66,1
0.55,0.10,0.27,0.25,0.29,0
0.68,0.19,0.19,0.48,0.10,0
0.73,0.20,0.07,0.72,0.26,0
0.78,0.15,0.38,0.18,0.63,1
0.55,0.10,0.34,0.30,0.10,0
0.59,0.18,0.31,0.55,0.09,0
0.64,0.09,0.33,0.65,0.50,1
0.60,0.19,0.55,0.08,0.10,0
0.69,0.02,0.62,0.30,0.29,0
0.78,0.21,0.68,0.65,0.75,1
0.62,0.14,0.52,0.81,0.15,0
0.70,0.18,0.88,0.09,0.66,1
0.75,0.02,0.78,0.31,0.53,1
0.55,0.17,0.71,0.48,0.11,0
0.85,0.05,0.91,0.80,0.68,1
0.78,0.27,0.13,0.14,0.62,1
0.80,0.29,0.06,0.31,0.51,1
0.90,0.26,0.19,0.58,0.79,1
0.76,0.26,0.07,0.83,0.34,1
0.72,0.32,0.48,0.20,0.60,1
0.60,0.25,0.39,0.29,0.30,0
0.52,0.29,0.32,0.50,0.30,0
0.60,0.31,0.31,0.87,0.58,1
0.51,0.26,0.55,0.17,0.64,1
0.58,0.30,0.62,0.28,0.30,0
0.61,0.26,0.56,0.62,0.24,0
0.77,0.27,0.59,0.78,0.28,1
0.79,0.28,0.88,0.20,0.66,1
0.68,0.27,0.78,0.31,0.57,1
0.58,0.30,0.73,0.63,0.21,0
0.77,0.29,0.74,0.82,0.68,1
0.71,0.48,0.13,0.23,0.59,1
0.58,0.35,0.06,0.29,0.31,0
0.88,0.34,0.19,0.55,0.78,1
0.99,0.49,0.07,0.70,0.69,1
0.73,0.43,0.32,0.12,0.65,1
0.61,0.33,0.36,0.28,0.28,0
0.51,0.40,0.40,0.59,0.23,0
0.83,0.44,0.49,0.91,0.66,1
0.66,0.38,0.55,0.15,0.62,1
0.58,0.35,0.51,0.27,0.30,0
0.52,0.41,0.55,0.60,0.22,0
0.66,0.36,0.56,0.40,0.83,1
0.62,0.37,0.81,0.13,0.64,1
0.52,0.44,0.82,0.30,0.52,1
0.50,0.40,0.73,0.62,0.20,0
0.71,0.46,0.95,0.78,0.86,1
0.64,0.55,0.15,0.18,0.63,1
0.52,0.85,0.06,0.27,0.25,0
0.62,0.62,0.24,0.65,0.25,1
0.91,0.58,0.26,0.89,0.88,1
0.62,0.67,0.39,0.10,0.66,1
0.58,0.58,0.31,0.29,0.29,0
0.89,0.68,0.49,0.65,0.90,1
0.72,0.60,0.45,0.79,0.45,1
0.68,0.63,0.65,0.09,0.66,1
0.56,0.60,0.60,0.31,0.50,1
0.54,0.51,0.55,0.64,0.19,0
0.61,0.78,0.69,0.92,0.58,1
0.78,0.61,0.71,0.19,0.60,1
0.54,0.82,0.71,0.29,0.77,1
0.50,0.75,0.81,0.61,0.26,1
0.66,0.90,0.76,0.87,0.74,1
